stt,name,price,size,support,of_players,genre,system,publisher,developer,languages,release_date
12,Super Mario Galaxy™ 2,$39.99,"Nintendo Switch: 2.8 GB , Nintendo Switch 2: 2.9 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","October 2, 2025"
13,Super Mario Galaxy™,$39.99,"Nintendo Switch: 3.7 GB , Nintendo Switch 2: 3.7 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","October 2, 2025"
14,Kirby™ and the Forgotten Land – Nintendo Switch™ 2 Edition + Star-Crossed World,$79.99,"Nintendo Switch: 5.8 GB , Nintendo Switch 2: 16.7 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-2) , Online (1-)","Action , Adventure",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","August 28, 2025"
15,Drag x Drive™,$19.99,1.9 GB,"TV mode , Tabletop mode",Chưa có,"Action , Sports",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","August 14, 2025"
16,Super Mario Party™ Jamboree – Nintendo Switch™ 2 Edition + Jamboree TV,$79.99,"Nintendo Switch: 5.4 GB , Nintendo Switch 2: 12.6 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-20)","Action , Party , Tabletop",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","July 24, 2025"
17,Pokémon™ Friends,$9.99,"Nintendo Switch: 871 MB , Nintendo Switch 2: 871 MB","TV mode , Tabletop mode , Handheld mode",Chưa có,Puzzle,Nintendo Switch,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","July 22, 2025"
18,Donkey Kong™ Bananza,$69.99,8.9 GB,"TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Adventure",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","July 17, 2025"
19,The Legend of Zelda™: Breath of the Wild – Nintendo Switch™ 2 Edition Upgrade Pack,$9.99,9.6 GB,Chưa có,Chưa có,Chưa có,Nintendo Switch 2,Nintendo,Chưa có,Chưa có,"June 5, 2025"
20,The Legend of Zelda™: Tears of the Kingdom – Nintendo Switch™ 2 Edition Upgrade Pack,$9.99,3.5 GB,Chưa có,Chưa có,Chưa có,Nintendo Switch 2,Nintendo,Chưa có,Chưa có,"June 5, 2025"
21,The Legend of Zelda™: Tears of the Kingdom – Nintendo Switch™ 2 Edition,$79.99,"Nintendo Switch: 16.5 GB , Nintendo Switch 2: 20.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure",Nintendo Switch 2,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","June 5, 2025"
22,The Legend of Zelda™: Breath of the Wild – Nintendo Switch™ 2 Edition,$69.99,"Nintendo Switch: 14.4 GB , Nintendo Switch 2: 24.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure",Nintendo Switch 2,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","June 5, 2025"
23,Nintendo Switch™ 2 Welcome Tour,$9.99,1.7 GB,"TV mode , Tabletop mode , Handheld mode",Chưa có,"Adventure , Education , Simulation",Nintendo Switch 2,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","June 5, 2025"
24,Nintendo GameCube™ – Nintendo Classics,$0.00,7.3 GB,"TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-4)",Chưa có,Nintendo Switch 2,Nintendo,Nintendo,"British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, Brazilian Portuguese, American English","June 5, 2025"
25,Mario Kart™ World,$79.99,21.9 GB,"TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (2-24)","Party , Racing",Nintendo Switch 2,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","June 5, 2025"
26,Xenoblade Chronicles™ X: Definitive Edition,$59.99,"Nintendo Switch: 13.5 GB , Nintendo Switch 2: 13.5 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","March 20, 2025"
27,Donkey Kong Country™ Returns HD,$59.99,"Nintendo Switch: 8.3 GB , Nintendo Switch 2: 8.3 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),Action,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","January 16, 2025"
28,Fitness Boxing 3: Your Personal Trainer,$49.99,"Nintendo Switch: 3.7 GB , Nintendo Switch 2: 3.7 GB","TV mode , Tabletop mode",Single System (1-2),"Sports , Training",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","December 5, 2024"
29,Mario & Luigi™: Brothership,$59.99,"Nintendo Switch: 10 GB , Nintendo Switch 2: 10 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","November 7, 2024"
30,Super Mario Party™ Jamboree,$59.99,"Nintendo Switch: 5.4 GB , Nintendo Switch 2: 5.6 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-20)","Action , Party , Tabletop",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","October 17, 2024"
31,The Legend of Zelda™: Echoes of Wisdom,$59.99,"Nintendo Switch: 5.6 GB , Nintendo Switch 2: 5.7 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","September 26, 2024"
32,Age verification,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có
33,Nintendo World Championships: NES™ Edition,$29.99,"Nintendo Switch: 435 MB , Nintendo Switch 2: 435 MB","TV mode , Tabletop mode , Handheld mode","Single System (1-8) , Online (1-)","Action , Party",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","July 18, 2024"
34,Luigi's Mansion™ 2 HD,$59.99,"Nintendo Switch: 3 GB , Nintendo Switch 2: 3 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","June 27, 2024"
35,Age verification,$59.99,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có,Chưa có
36,Paper Mario™: The Thousand-Year Door,$59.99,"Nintendo Switch: 5.1 GB , Nintendo Switch 2: 5.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","May 23, 2024"
37,Game Boy™ – Nintendo Switch Online,$0.00,"Nintendo Switch: 146 MB , Nintendo Switch 2: 146 MB","TV mode , Tabletop mode , Handheld mode",Chưa có,Chưa có,Nintendo Switch,Nintendo,Chưa có,"British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, American English","February 8, 2023"
38,Fire Emblem™ Engage,$59.99,"Nintendo Switch: 16.6 GB , Nintendo Switch 2: 16.6 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Role playing , Strategy",Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Traditional Chinese, American English","January 20, 2023"
39,Pokémon™ Scarlet and Pokémon™ Violet Double Pack,$119.99,Chưa có,Chưa có,Chưa có,Role playing,Nintendo Switch,Nintendo,Chưa có,Chưa có,"November 18, 2022"
40,Pokémon™ Violet,$59.99,"Nintendo Switch: 9.9 GB , Nintendo Switch 2: 10.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Role playing,Nintendo Switch,Nintendo,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","November 18, 2022"
41,Pokémon™ Scarlet,$59.99,"Nintendo Switch: 9.9 GB , Nintendo Switch 2: 10.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Role playing,Nintendo Switch,Nintendo,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","November 18, 2022"
42,Splatoon™ 3,$59.99,"Nintendo Switch: 9.9 GB , Nintendo Switch 2: 9.9 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Shooting",Nintendo Switch,Nintendo,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Traditional Chinese, American English","September 9, 2022"
43,Kirby’s Dream Buffet™,$14.99,"Nintendo Switch: 1.2 GB , Nintendo Switch 2: 1.2 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-2) , Online (1-4)","Action , Racing",Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","August 17, 2022"
44,Xenoblade Chronicles™ 3,$59.99,"Nintendo Switch: 14.4 GB , Nintendo Switch 2: 14.4 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese","July 29, 2022"
45,LIVE A LIVE,$49.99,"Nintendo Switch: 4.7 GB , Nintendo Switch 2: 4.7 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Role playing,Nintendo Switch,Nintendo,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","July 22, 2022"
46,Fire Emblem Warriors: Three Hopes,$59.99,"Nintendo Switch: 13.5 GB , Nintendo Switch 2: 13.5 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Strategy",Nintendo Switch,Nintendo,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Traditional Chinese, American English","June 24, 2022"
47,Mario Strikers™: Battle League,$59.99,"Nintendo Switch: 2.8 GB , Nintendo Switch 2: 2.8 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-8) , Online (1-8)","Action , Sports",Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","June 10, 2022"
48,Nintendo Switch™ Sports,$39.99,"Nintendo Switch: 3.2 GB , Nintendo Switch 2: 3.2 GB","TV mode , Tabletop mode","Single System (1-4) , Online (1-2)","Action , Party , Sports",Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","April 29, 2022"
49,Kirby™ and the Forgotten Land,$59.99,"Nintendo Switch: 5.8 GB , Nintendo Switch 2: 5.9 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Adventure",Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","March 25, 2022"
50,Pokémon™ Legends: Arceus,$59.99,"Nintendo Switch: 6.1 GB , Nintendo Switch 2: 6.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Role playing",Nintendo Switch,Nintendo,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","January 28, 2022"
51,Big Brain Academy™: Brain vs. Brain,$29.99,"Nintendo Switch: 720 MB , Nintendo Switch 2: 805 MB","TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-)",Training,Nintendo Switch,Nintendo,Nintendo,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","December 3, 2021"
52,Pokémon™ Brilliant Diamond and Pokémon™ Shining Pearl Double Pack,$119.99,Chưa có,Chưa có,Chưa có,Role playing,Nintendo Switch,Nintendo,Chưa có,Chưa có,"November 19, 2021"
53,Pokémon™ Shining Pearl,$59.99,"Nintendo Switch: 6.9 GB , Nintendo Switch 2: 6.9 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Role playing,Nintendo Switch,Nintendo,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","November 19, 2021"
54,Pokémon™ Brilliant Diamond,$59.99,"Nintendo Switch: 6.9 GB , Nintendo Switch 2: 6.9 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Role playing,Nintendo Switch,Nintendo,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","November 19, 2021"
55,Mario Party™ Superstars,$59.99,"Nintendo Switch: 2.9 GB , Nintendo Switch 2: 2.9 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (1-4)","Action , Party , Tabletop",Nintendo Switch,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Brazilian Portuguese, Traditional Chinese, American English","October 29, 2021"
56,SEGA Genesis™ – Nintendo Switch Online,$0.00,"Nintendo Switch: 226 MB , Nintendo Switch 2: 226 MB","TV mode , Tabletop mode , Handheld mode","Single System (1-2) , Online (2-)",Chưa có,Nintendo Switch,Nintendo,Chưa có,"British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, Brazilian Portuguese, American English","October 25, 2021"
57,Nintendo 64™ – Nintendo Classics,$0.00,"Nintendo Switch: 1.8 GB , Nintendo Switch 2: 1.9 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (2-4)",Chưa có,Nintendo Switch,Nintendo,Chưa có,"British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Latin American Spanish, Canadian French, Brazilian Portuguese, American English","October 25, 2021"
58,Metroid™ Dread,$59.99,"Nintendo Switch: 4.3 GB , Nintendo Switch 2: 4.3 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure , Shooting",Nintendo Switch,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","October 8, 2021"
59,WarioWare™: Get It Together!,$49.99,"Nintendo Switch: 1.3 GB , Nintendo Switch 2: 1.3 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-4),"Action , Party",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","September 10, 2021"
60,The Legend of Zelda™: Skyward Sword HD,$59.99,"Nintendo Switch: 7.1 GB , Nintendo Switch 2: 7.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","July 16, 2021"
61,Mario Golf™: Super Rush,$59.99,"Nintendo Switch: 4.2 GB , Nintendo Switch 2: 4.2 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (2-4)","Action , Party , Sports",Nintendo Switch,Nintendo,Nintendo,"Japanese, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","June 25, 2021"
62,Game Builder Garage™,$29.99,"Nintendo Switch: 1 GB , Nintendo Switch 2: 1.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Application , Education",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","June 11, 2021"
63,DC Super Hero Girls™: Teen Power,$59.99,"Nintendo Switch: 2 GB , Nintendo Switch 2: 2 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, German, Italian, Latin American Spanish, Canadian French, American English","June 4, 2021"
64,Miitopia™,$49.99,"Nintendo Switch: 3.1 GB , Nintendo Switch 2: 3.1 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Role playing,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","May 21, 2021"
65,Famicom Detective Club™: The Two-Case Collection,$59.98,Chưa có,Chưa có,Chưa có,Narrative adventure,Nintendo Switch,Nintendo,Chưa có,Chưa có,"May 14, 2021"
66,Famicom Detective Club™: The Missing Heir,$34.99,"Nintendo Switch: 1.6 GB , Nintendo Switch 2: 1.6 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Narrative adventure,Nintendo Switch,Nintendo,Chưa có,American English,"May 14, 2021"
67,Famicom Detective Club™: The Girl Who Stands Behind,$34.99,"Nintendo Switch: 1.9 GB , Nintendo Switch 2: 1.9 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Narrative adventure,Nintendo Switch,Nintendo,Chưa có,American English,"May 14, 2021"
68,New Pokémon Snap™,$59.99,"Nintendo Switch: 6.9 GB , Nintendo Switch 2: 6.9 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Action,Nintendo Switch,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","April 30, 2021"
69,BRAVELY DEFAULT™ II,$59.99,"Nintendo Switch: 12.4 GB , Nintendo Switch 2: 12.4 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,Role playing,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","February 26, 2021"
70,Super Mario™ 3D World + Bowser’s Fury,$59.99,"Nintendo Switch: 3 GB , Nintendo Switch 2: 3 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (2-4)","Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","February 12, 2021"
71,Fitness Boxing 2: Rhythm & Exercise,$49.99,"Nintendo Switch: 3.8 GB , Nintendo Switch 2: 3.8 GB","TV mode , Tabletop mode",Single System (1-2),"Sports , Training",Nintendo Switch,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English","December 4, 2020"
72,Hyrule Warriors: Age of Calamity,$59.99,"Nintendo Switch: 11.1 GB , Nintendo Switch 2: 11.1 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),Action,Nintendo Switch,Nintendo,Chưa có,"Japanese, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","November 20, 2020"
73,Animal Crossing: New Horizons Island Transfer Tool,$0.00,"Nintendo Switch: 46 MB , Nintendo Switch 2: 46 MB","TV mode , Tabletop mode , Handheld mode",Chưa có,Application,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","November 18, 2020"
74,Pikmin™ 3 Deluxe,$59.99,"Nintendo Switch: 6.5 GB , Nintendo Switch 2: 6.5 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),"Action , Adventure , Strategy",Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","October 30, 2020"
75,Part Time UFO™,$8.99,"Nintendo Switch: 194 MB , Nintendo Switch 2: 194 MB","TV mode , Tabletop mode , Handheld mode",Single System (1-2),Action,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","October 28, 2020"
76,Mario Kart Live: Home Circuit™,$0.00,"Nintendo Switch: 2 GB , Nintendo Switch 2: 2 GB","TV mode , Tabletop mode , Handheld mode",Single System (1-4),Racing,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","October 16, 2020"
77,Kirby Fighters™ 2,$19.99,"Nintendo Switch: 1.1 GB , Nintendo Switch 2: 1.1 GB","TV mode , Tabletop mode , Handheld mode","Single System (1-4) , Online (2-4)",Fighting,Nintendo Switch,Nintendo,Chưa có,"Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","September 23, 2020"
78,Paper Mario™: The Origami King,$59.99,"Nintendo Switch: 6.5 GB , Nintendo Switch 2: 6.5 GB","TV mode , Tabletop mode , Handheld mode",Chưa có,"Action , Adventure",Nintendo Switch,Nintendo,Chưa có,"Japanese, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English","July 17, 2020"
79,Pokémon Café ReMix,$0.00,"Nintendo Switch: 574 MB , Nintendo Switch 2: 574 MB",Handheld mode,Chưa có,Puzzle,Nintendo Switch,Nintendo,Chưa có,"Japanese, German, Italian, Korean, Latin American Spanish, Canadian French, Traditional Chinese, American English","June 23, 2020"
